Greek Word,Frequency Rank,Theme,Level,French Translation,Part of Speech
οι σπρώξεις,9519,Holidays & Travel,9,,
οι χώσεις,9532,Holidays & Travel,9,,
οι διαλύσεις,9622,Holidays & Travel,9,,
οι γεννήσεις,9629,Holidays & Travel,9,,
οι συμπτώσεις,9671,Holidays & Travel,9,,
ο επισκεπτών,9719,Holidays & Travel,9,,
η εξερεύνηση,9780,Holidays & Travel,9,,
περιπου,9781,Holidays & Travel,9,,
το δρομολόγιο,9785,Holidays & Travel,9,,
οι εκπτώσεις,9802,Holidays & Travel,9,,
ο ταξιδιώτης,9828,Holidays & Travel,9,,
οι χτίσεις,9831,Holidays & Travel,9,,
οι στήσεις,9875,Holidays & Travel,9,,
οι ανέσεις,9993,Holidays & Travel,9,,
ο,1,General,1,,
δεν,2,General,1,,
είμαι / ήμουν,3,General,1,,
εγώ,5,General,1,,
με,6,General,1,,
για,7,General,1,,
σου,8,General,1,,
που,9,General,1,,
σε,10,General,1,,
αυτός,11,General,1,,
τι,12,General,1,,
ότι,13,General,1,,
από,14,General,1,,
ναι,16,General,1,,
ένας,17,General,1,,
αν,18,General,1,,
εδώ,20,General,1,,
πρέπει / έπρεπε,21,General,1,,
πως,24,General,1,,
τώρα,25,General,1,,
εντάσσω / ενέταξα,26,General,1,,
κάτι,27,General,1,,
ξέρω / ήξερα,28,General,1,,
έχω / είχα,29,General,1,,
δε,30,General,1,,
μην,31,General,1,,
έτσι,32,General,1,,
εσύ,33,General,1,,
καλά,34,General,1,,
θέλω / θέλησα,35,General,1,,
όταν,36,General,2,,
μπορώ / μπόρεσα,37,General,2,,
μόνο,38,General,2,,
μαζί,39,General,2,,
εκεί,40,General,2,,
σαν,41,General,2,,
όλος,42,General,2,,
τίποτα,43,General,2,,
ευχαριστώ / ευχαρίστησα,44,General,2,,
πώς,45,General,2,,
ή,46,General,2,,
απ,47,General,2,,
κάνω / έκανα,48,General,2,,
ποτέ,50,General,2,,
απλά,51,General,2,,
έλα,52,General,2,,
λοιπόν,53,General,2,,
υπάρχω / υπήρξα,54,General,2,,
μέσα,56,General,2,,
το σπίτι,57,General,2,,
τότε,58,General,2,,
πιο,59,General,2,,
γι,61,General,2,,
πού,62,General,2,,
παρακαλώ,63,General,2,,
ο κύριος,64,General,2,,
νομίζω / νόμισα,65,General,2,,
μετά,66,General,2,,
πριν,67,General,2,,
η γεια,68,General,2,,
λίγο,70,General,3,,
πίσω,71,General,3,,
λέγω / είπα,72,General,3,,
όπως,73,General,3,,
ποιος,76,General,3,,
ο λες,77,General,3,,
άλλος,79,General,3,,
δω / εδέησα,81,General,3,,
πάω / πήγα,82,General,3,,
έξω,83,General,3,,
καλός,84,General,3,,
μέχρι,86,General,3,,
πάνω,87,General,3,,
η ώρα,88,General,3,,
σένα,89,General,3,,
ο χρόνος,90,General,3,,
μένα,91,General,3,,
η φορά,92,General,3,,
ωραία,93,General,3,,
ούτε,94,General,3,,
σωστά,96,General,3,,
κάθε,98,General,3,,
κάτω,100,General,3,,
η μέρα,101,General,3,,
χωρίς,103,General,3,,
μόλις,104,General,3,,
κανένας,105,General,3,,
η μαμά,106,General,3,,
αρέσω / άρεσα,108,General,3,,
πάει / πάε,109,General,3,,
λέει / έπη,111,General,4,,
πόσο,112,General,4,,
συγγνώμη,113,General,4,,
το θεέ,114,General,4,,
φαίνομαι / φάνηκα,115,General,4,,
λυπάμαι / λυπήθηκα,116,General,4,,
γίνομαι / έγινα,117,General,4,,
συμβαίνω / συνέβη,118,General,4,,
το μέρος,119,General,4,,
οι πεις,120,General,4,,
εμένα,122,General,4,,
πολύς,123,General,4,,
όσο,124,General,4,,
το λάθος,126,General,4,,
οχι,127,General,4,,
οπότε,128,General,4,,
εσένα,129,General,4,,
το πρόβλημα,130,General,4,,
απο,131,General,4,,
ως,132,General,4,,
πάλι,133,General,4,,
όλο,135,General,4,,
χρειάζομαι / χρειάσθηκα,136,General,4,,
φίλε,137,General,4,,
βλέπω / είδα,139,General,4,,
δικός,140,General,4,,
ίδιος,142,General,4,,
πάρω / έπαρα,143,General,4,,
γρήγορα,144,General,4,,
πάρει / πάρισε,146,General,4,,
ο μπαμπάς,147,General,5,,
αρκετά,148,General,5,,
η κυρία,149,General,5,,
νέος,152,General,5,,
οτι,154,General,5,,
ήδη,156,General,5,,
η πατέρα,157,General,5,,
ο καιρός,158,General,5,,
προς,159,General,5,,
εκτός,160,General,5,,
το μωρό,161,General,5,,
το βράδυ,162,General,5,,
η συγνώμη,163,General,5,,
βλέπεις,165,General,5,,
η χαρά,166,General,5,,
το όνομα,167,General,5,,
αύριο,168,General,5,,
μόνος,169,General,5,,
πρόκειται / επρόκειτο,170,General,5,,
τελευταίος,171,General,5,,
μεγάλος,173,General,5,,
το δίκιο,176,General,5,,
απόψε,177,General,5,,
το τέλος,178,General,5,,
μακριά,179,General,5,,
αμέσως,180,General,5,,
πότε,181,General,5,,
τί,182,General,5,,
ο τρόπος,184,General,5,,
μήπως,185,General,5,,
ξανά,187,General,6,,
πια,188,General,6,,
κατά,189,General,6,,
το κορίτσι,191,General,6,,
το λεπτό,193,General,6,,
ο τύπος,194,General,6,,
κοντά,195,General,6,,
το θέμα,196,General,6,,
μιλώ / μίλησα,197,General,6,,
το χέρι,198,General,6,,
βρω / έβρασα,199,General,6,,
τέτοιος,200,General,6,,
εννοώ / εννόησα,201,General,6,,
μερικοί,202,General,6,,
πειράζω / πείραξα,203,General,6,,
έρθει / ήρθε,204,General,6,,
το όπλο,209,General,6,,
πέρα,210,General,6,,
αφού,211,General,6,,
η πόρτα,212,General,6,,
ορίστε,214,General,6,,
ελπίζω / ήλπισα,215,General,6,,
το πρωί,216,General,6,,
το μάτι,217,General,6,,
το κακό,220,General,6,,
μπροστά,223,General,6,,
φύγω / έφυγα,224,General,6,,
κάλος,225,General,6,,
οι θυμάσαι,226,General,6,,
το διάολο,227,General,6,,
το αμάξι,228,General,7,,
η ευκαιρία,230,General,7,,
ο λόγος,231,General,7,,
βοηθώ / βοήθησα,232,General,7,,
το κεφάλι,233,General,7,,
η νύχτα,234,General,7,,
ο φύγες,235,General,7,,
ώστε,236,General,7,,
χαίρω / χάρηκα,237,General,7,,
η τέλεια,238,General,7,,
καν,239,General,7,,
το δωμάτιο,241,General,7,,
ο φίλος,242,General,7,,
ελάτε,243,General,7,,
η κόρη,244,General,7,,
όπου,245,General,7,,
αγαπώ / αγάπησα,246,General,7,,
πρώτα,248,General,7,,
η ψέματα,249,General,7,,
ωραίος,250,General,7,,
το αγόρι,252,General,7,,
ο άντρας,254,General,7,,
σοβαρά,255,General,7,,
ενας,256,General,7,,
αλλιώς,257,General,7,,
μικρός,258,General,7,,
τουλάχιστο,259,General,7,,
έρχομαι / ήλθα,260,General,7,,
ο τηλέφωνος,261,General,7,,
δύσκολος,262,General,7,,
ο αυτος,263,General,8,,
αργά,265,General,8,,
σχεδόν,266,General,8,,
το νερό,267,General,8,,
νιώθω / ένιωσα,268,General,8,,
κάπου,269,General,8,,
μεταξύ,270,General,8,,
ο μήνας,271,General,8,,
δώσω / έδωσα,272,General,8,,
χθες,274,General,8,,
αντίο,275,General,8,,
τα αίμα,276,General,8,,
το σχολείο,277,General,8,,
μυαλό,279,General,8,,
καμιά,280,General,8,,
θυμάμαι / θυμήθηκα,281,General,8,,
ποιός,282,General,8,,
ο ρες,283,General,8,,
ήθελες,284,General,8,,
μερικά,285,General,8,,
σύντομα,286,General,8,,
υποθέτω / υπόθεσα,287,General,8,,
πάρα,288,General,8,,
σκατά,289,General,8,,
μιλήσω / μίλησα,290,General,8,,
τρέχω / έτρεξα,291,General,8,,
η πλάκα,293,General,8,,
η φυλακή,294,General,8,,
φύγει / έφυγε,295,General,8,,
νεκρός,297,General,8,,
ποιον,298,General,9,,
οι έρθεις,299,General,9,,
γύρω,300,General,9,,
όσος,302,General,9,,
χάρη,303,General,9,,
η κοπέλα,304,General,9,,
το φαγητό,305,General,9,,
σημαντικός,306,General,9,,
σκοτώνω / σκότωσα,307,General,9,,
η απόδοση,311,General,9,,
το δολάριο,312,General,9,,
η καλημέρα,313,General,9,,
βασικά,314,General,9,,
το αστείο,315,General,9,,
εμπρός,316,General,9,,
φοβάμαι / φοβήθηκα,317,General,9,,
οι γονείς,318,General,9,,
εσάς,319,General,9,,
πεθαίνω / πέθανα,320,General,9,,
έτοιμος,321,General,9,,
το σχέδιο,322,General,9,,
η τύχη,323,General,9,,
το πόδι,324,General,9,,
η αρχή,325,General,9,,
ο θεός,326,General,9,,
ενώ,327,General,9,,
άσχημα,328,General,9,,
έρθω / ήρθα,329,General,9,,
σίγουρη,330,General,9,,
οποίος,332,General,9,,
σωστός,333,General,10,,
όμορφη,335,General,10,,
μοιάζω / έμοιασα,336,General,10,,
περίπου,338,General,10,,
ο κες,340,General,10,,
ο αφεντικός,341,General,10,,
το πάρτι,342,General,10,,
το τζακ,343,General,10,,
η γη,344,General,10,,
μένω / έμεινα,345,General,10,,
φέρω / έφερα,346,General,10,,
ακούω / άκουσα,347,General,10,,
δίνω / έδωσα,348,General,10,,
ο γιος,349,General,10,,
επόμενος,351,General,10,,
περιμένω / περίμενα,352,General,10,,
μισός,353,General,10,,
το σώμα,354,General,10,,
περνώ / πέρασα,355,General,10,,
το βιβλίο,356,General,10,,
βρει / έβρισε,357,General,10,,
το μπράβο,359,General,10,,
καλώς,360,General,10,,
μάθω / έμασα,361,General,10,,
μείνω / έμεινα,364,General,10,,
το καφέ,367,General,10,,
η γειά,368,General,10,,
η σεξ,369,General,10,,
η ταινία,371,General,10,,
το μήνυμα,372,General,10,,
εδω,373,General,11,,
εύκολος,374,General,11,,
μιλάω / μίλησα,375,General,11,,
αξίζω / άξιζα,377,General,11,,
βρίσκω / βρήκα,379,General,11,,
το κρεβάτι,380,General,11,,
σκέφτομαι / σκέφτηκα,381,General,11,,
οτιδήποτε,382,General,11,,
το σαμ,383,General,11,,
η καληνύχτα,384,General,11,,
η κα,385,General,11,,
σκοτώσω / σκότωσα,386,General,11,,
το άλλονς,387,General,11,,
η φίλη,390,General,11,,
βάλω / έβαλα,392,General,11,,
δίπλα,393,General,11,,
το ποτό,394,General,11,,
η σειρά,395,General,11,,
κάπως,396,General,11,,
στ,398,General,11,,
ετσι,400,General,11,,
τα ρούχα,401,General,11,,
δουλεύω / δούλεψα,402,General,11,,
το στοιχείο,403,General,11,,
το τζον,404,General,11,,
ήξερες,405,General,11,,
οι εχεις,406,General,11,,
η λέξη,407,General,11,,
ο γιατρός,408,General,11,,
υπέροχος,409,General,11,,
η φωτιά,410,General,12,,
παλιός,411,General,12,,
η λίγη,412,General,12,,
δες,413,General,12,,
το κομμάτι,414,General,12,,
το σημείο,415,General,12,,
γνωρίζω / γνώρισα,416,General,12,,
γίνω / έγινα,418,General,12,,
οι ερωτήσεις,419,General,12,,
πουθενά,420,General,12,,
υπέροχα,421,General,12,,
η εβδομάδα,422,General,12,,
περίεργος,424,General,12,,
η φωτογραφία,425,General,12,,
ο δρ,426,General,12,,
μάθει / μάσε,428,General,12,,
η επιμέλεια,429,General,12,,
τελειώσει / τελείωσε,431,General,12,,
το δείπνο,432,General,12,,
το κάτσε,433,General,12,,
επάνω,434,General,12,,
το είδος,435,General,12,,
πόσος,438,General,12,,
το σκάφος,439,General,12,,
άρα,440,General,12,,
το μέλλον,441,General,12,,
το μάικλ,442,General,12,,
σκάσε,444,General,12,,
η ημέρα,447,General,12,,
δείξω / έδειξα,448,General,12,,
το άτομο,449,General,13,,
σκέφτεσαι,450,General,13,,
καθώς,451,General,13,,
γυρίζω / γύρισα,452,General,13,,
μουσικός,453,General,13,,
ο θάνατος,454,General,13,,
τα μαλλιά,455,General,13,,
η τιμή,456,General,13,,
είτε,457,General,13,,
τόσος,458,General,13,,
παντού,462,General,13,,
παίρνω / πήρα,463,General,13,,
το πτώμα,465,General,13,,
επιτέλους,467,General,13,,
υπό,468,General,13,,
συνήθως,469,General,13,,
το τμήμα,470,General,13,,
ρωτώ / ερώτησα,471,General,13,,
η θεού,472,General,13,,
τζο,473,General,13,,
ο γάμος,476,General,13,,
η λίστα,477,General,13,,
εναντίον,478,General,13,,
το φως,479,General,13,,
οι δώσεις,480,General,13,,
έτοιμοι,481,General,13,,
το ενδιαφέρον,482,General,13,,
μέσος,483,General,13,,
καλύτερος,484,General,13,,
ο γιατρές,485,General,13,,
το δώρο,486,General,14,,
αλλάζω / άλλαξα,487,General,14,,
το τρελόςς,488,General,14,,
τσάρλι,489,General,14,,
το βάλε,490,General,14,,
λίγος,491,General,14,,
εισαι,492,General,14,,
ο ντετέκτιβ,493,General,14,,
η βδομάδα,494,General,14,,
όντως,495,General,14,,
όμορφος,496,General,14,,
τέλειος,498,General,14,,
τα νόημα,499,General,14,,
ο δεσποινίς,500,General,14,,
στόμα,501,General,14,,
το κου,502,General,14,,
λείπω / έλειψα,504,General,14,,
συγχωρής,505,General,14,,
ο έλεγχος,506,General,14,,
η άκρη,507,General,14,,
η ματιά,508,General,14,,
εν,509,General,14,,
το πλοίο,510,General,14,,
πρώην,511,General,14,,
ο άνδρες,512,General,14,,
παραπάνω,513,General,14,,
τα θύμα,514,General,14,,
τομ,515,General,14,,
σταματώ / σταμάτησα,516,General,14,,
η βάση,519,General,14,,
τίποτε,520,General,15,,
παίζω / έπαιξα,521,General,15,,
βγει,522,General,15,,
το ατύχημα,523,General,15,,
ο αέρας,524,General,15,,
εξαιτίας,525,General,15,,
συχνά,526,General,15,,
βγάλω / έβγαλα,527,General,15,,
το εκατομμύριο,528,General,15,,
η σάρα,529,General,15,,
δείχνω / έδειξα,530,General,15,,
δολοφόνος,532,General,15,,
μικρής,533,General,15,,
τελείως,534,General,15,,
πάντων,535,General,15,,
ρα,536,General,15,,
ανάμεσα,537,General,15,,
ξαφνικά,539,General,15,,
πηγαίνω / πήγα,541,General,15,,
αφορώ / αφόρεσα,543,General,15,,
φεύγω / έφυγα,544,General,15,,
μισώ / μίσησα,545,General,15,,
εγω,546,General,15,,
λόγω,547,General,15,,
η γραμμή,548,General,15,,
φρανκ,550,General,15,,
ο άκουσες,553,General,15,,
ο αδερφός,554,General,15,,
ψηλά,556,General,15,,
η μάνα,557,General,15,,
η σκηνή,558,General,16,,
νωρίςς,559,General,16,,
η τηλεόραση,560,General,16,,
παράξενος,561,General,16,,
ει,562,General,16,,
το τραπέζι,563,General,16,,
το σήμα,564,General,16,,
το τραγούδι,565,General,16,,
η χιλιάδα,566,General,16,,
ορκίζομαι / ορκίστηκα,567,General,16,,
η γιαγιά,568,General,16,,
ο μπαρ,569,General,16,,
ζητώ / ζήτησα,570,General,16,,
το μπάνιο,571,General,16,,
η συγχαρητήρια,572,General,16,,
εκ,573,General,16,,
το θανάτου,574,General,16,,
πρεπει,575,General,16,,
το ύπνο,578,General,16,,
πολυ,580,General,16,,
το κρίμα,581,General,16,,
το κλειδί,582,General,16,,
η μάχη,584,General,16,,
σύμφωνα,585,General,16,,
το μαγαζί,586,General,16,,
αντί,587,General,16,,
πεθάνω / πέθανα,588,General,16,,
ολος,589,General,16,,
τρελό,591,General,16,,
το αεροπλάνο,592,General,16,,
αρκετός,595,General,17,,
ανήκω / ανήκα,596,General,17,,
η δεξιά,598,General,17,,
ο χρονών,599,General,17,,
βάζω / έβαλα,600,General,17,,
λιγάκι,602,General,17,,
χάνω / έχασα,604,General,17,,
η έκπληξη,605,General,17,,
η μαλακία,606,General,17,,
ακούσω / άκουσα,608,General,17,,
η υόρκη,609,General,17,,
το κόσμου,610,General,17,,
το νούμερο,611,General,17,,
ο φόνος,612,General,17,,
γύρνα,613,General,17,,
ζω / έζησα,614,General,17,,
ζητήσω / ζήτησα,616,General,17,,
ειδικά,617,General,17,,
αρχίζω / άρχισα,619,General,17,,
αγαπάω / αγάπησα,621,General,17,,
ψάχνω / έψαξα,624,General,17,,
δώσ,625,General,17,,
το μέτρο,626,General,17,,
η βασιλιά,627,General,17,,
η δις,628,General,17,,
υπέροχη,629,General,17,,
καταλαμβάνω / κατέλαβα,631,General,17,,
η τωρα,634,General,17,,
δυνατά,636,General,17,,
σκεφτώ / σκεφτούσα,637,General,17,,
το κουτί,638,General,18,,
ξέχνα,639,General,18,,
το απόγευμα,640,General,18,,
σήκω,641,General,18,,
το όνειρο,643,General,18,,
ο πρόεδρος,644,General,18,,
σα,646,General,18,,
οι παίζεις,647,General,18,,
εύκολα,648,General,18,,
οι αποδείξεις,649,General,18,,
η τσάντα,650,General,18,,
το γράμμα,651,General,18,,
η βόλτα,652,General,18,,
ναρκωτικός,653,General,18,,
τα χριστούγεννα,654,General,18,,
ο βασιλιάς,655,General,18,,
ο κανόνας,657,General,18,,
μπος,658,General,18,,
το πρωινό,659,General,18,,
γνωρίζεις,660,General,18,,
νωρίς,661,General,18,,
το μάθημα,662,General,18,,
φαντάζομαι / φαντάστηκα,663,General,18,,
ο κώλος,664,General,18,,
ηλίθιος,665,General,18,,
τρελή,668,General,18,,
σιγά,669,General,18,,
εσυ,670,General,18,,
αληθινός,672,General,18,,
το παράθυρο,673,General,18,,
πάντως,675,General,19,,
αναρωτιέμαι / αναρωτήθηκα,676,General,19,,
αλλού,677,General,19,,
η ελπίδα,678,General,19,,
απλός,680,General,19,,
ο πλανήτης,681,General,19,,
ναί,682,General,19,,
λατρεύω / λάτρεψα,686,General,19,,
η θεία,687,General,19,,
απίστευτος,688,General,19,,
η μαξ,691,General,19,,
το κρασί,692,General,19,,
ωχ,693,General,19,,
χτης,694,General,19,,
όποιος,695,General,19,,
το μπεν,697,General,19,,
η ηλικία,698,General,19,,
φτάνω / έφτασα,700,General,19,,
το αδερφό,701,General,19,,
η κάρτα,702,General,19,,
ο άνδρας,703,General,19,,
κρατήσω / κράτησα,706,General,19,,
ποιά,707,General,19,,
η κόλαση,708,General,19,,
πλάτος,709,General,19,,
οι ακούσεις,710,General,19,,
τού,711,General,19,,
το στοίχημα,712,General,19,,
το κάθαρμα,713,General,19,,
ενδιαφέρω / ενδιέφερα,714,General,19,,
το παπούτσι,715,General,20,,
μπω / έμπασα,716,General,20,,
αριστερά,717,General,20,,
κακός,718,General,20,,
η σκύλα,719,General,20,,
το τσάι,720,General,20,,
ξαναδεί / ξανάδεσε,721,General,20,,
ο σκοπός,722,General,20,,
το δωμάτιό,725,General,20,,
ο γλυκός,726,General,20,,
οι ζωές,727,General,20,,
ο αρχηγός,728,General,20,,
εξηγώ / εξηγήθηκα,729,General,20,,
οι διορθώσεις,730,General,20,,
συζητώ / συζήτησα,732,General,20,,
μισή,733,General,20,,
μέσω,734,General,20,,
βγαίνω / βγήκα,735,General,20,,
ανησυχώ / ανησύχησα,736,General,20,,
φτιάξω / έφτιαξα,737,General,20,,
ο αρχηγές,738,General,20,,
ο λαιμός,739,General,20,,
η κάμερα,740,General,20,,
μίλα,741,General,20,,
τα χαρτιά,742,General,20,,
η σφαίρα,743,General,20,,
καλώ / κάλεσα,745,General,20,,
το πάρτυ,746,General,20,,
το βιβλί,747,General,20,,
καθίζω / κάθισα,748,General,20,,
το έτος,749,General,21,,
όποτε,750,General,21,,
πιθανόν,753,General,21,,
ο αριθμός,755,General,21,,
οι σαι,756,General,21,,
χειρότερα,757,General,21,,
σκληρά,758,General,21,,
ο χορός,759,General,21,,
αχ,760,General,21,,
τηλεφωνώ / τηλεφώνησα,761,General,21,,
χάζω / έχασα,762,General,21,,
το φορτηγό,765,General,21,,
κόκκινο,768,General,21,,
ο πόνος,769,General,21,,
το τέρας,772,General,21,,
η βόμβα,773,General,21,,
φοβερός,774,General,21,,
ο αδελφός,775,General,21,,
εύχομαι / ευχήθηκα,776,General,21,,
η διάρκεια,778,General,21,,
η δόξα,779,General,21,,
το σημάδι,780,General,21,,
στείλω / έστειλα,781,General,21,,
ευτυχώς,782,General,21,,
η πράκτορα,783,General,21,,
γιε,784,General,21,,
η αλλαγή,785,General,21,,
η μπύρα,786,General,21,,
η θεραπεία,787,General,21,,
οπως,788,General,21,,
το δευτερόλεπτο,790,General,22,,
πονάω / πόνεσα,791,General,22,,
ο κοινός,792,General,22,,
το κομμάτιο,793,General,22,,
κατι,794,General,22,,
οι απαντήσεις,796,General,22,,
το άλογο,797,General,22,,
βαθιά,798,General,22,,
το ζώο,802,General,22,,
το μαχαίρι,803,General,22,,
τα κλειδιά,804,General,22,,
σοβαρός,805,General,22,,
τα βοήθειά,806,General,22,,
γεμάτο,807,General,22,,
ο κίνδυνος,808,General,22,,
η βασίλισσα,809,General,22,,
το διάστημα,810,General,22,,
το παρίσι,811,General,22,,
ο δικηγόρος,812,General,22,,
πιάνω / έπιασα,813,General,22,,
η κουζίνα,814,General,22,,
το κει,815,General,22,,
ασφαλέςς,816,General,22,,
κάν,817,General,22,,
το τζορτζ,819,General,22,,
προσπαθήσω / προσπάθησα,822,General,22,,
το ζευγάρι,823,General,22,,
μού,824,General,22,,
βγω,825,General,22,,
ήρεμα,828,General,22,,
ο κόλπος,829,General,23,,
ολόκληρος,830,General,23,,
η μύτη,831,General,23,,
βγάζω / έβγαλα,833,General,23,,
έξυπνος,835,General,23,,
πολλή,836,General,23,,
το κλαμπ,838,General,23,,
εκτιμώ / εκτίμησα,840,General,23,,
το ίχνος,841,General,23,,
κρατάω / κράτησα,842,General,23,,
ντάνι,843,General,23,,
το ρέι,844,General,23,,
το μέλος,845,General,23,,
διότι,846,General,23,,
καύς,847,General,23,,
αδερφέ,848,General,23,,
βάζεις,849,General,23,,
η λύση,850,General,23,,
το κρύο,851,General,23,,
το μαύρο,853,General,23,,
ταξί,854,General,23,,
το βήμα,855,General,23,,
ζωντανός,856,General,23,,
η τουαλέτα,857,General,23,,
τζιμ,859,General,23,,
ο σύζυγός,860,General,23,,
το έδαφος,862,General,23,,
φάει / φάγε,863,General,23,,
το χένρι,864,General,23,,
άσχημος,865,General,23,,
ταιριάζω / ταίριαξα,866,General,24,,
το τζέιμς,867,General,24,,
το τεστ,869,General,24,,
αρκώ / άρκεσα,870,General,24,,
δικέ,871,General,24,,
γαμήσου,872,General,24,,
το έργο,874,General,24,,
η άνδρα,875,General,24,,
το δικηγόρο,877,General,24,,
αστυνομικός,878,General,24,,
ο παιχνίδιος,879,General,24,,
αυτη,880,General,24,,
το κοιμηθώ,881,General,24,,
ο σύζυγος,882,General,24,,
επί,883,General,24,,
το σόου,884,General,24,,
η πίεση,885,General,24,,
εξαρτάται / εξαρτήθηκε,886,General,24,,
ο πελάτης,887,General,24,,
ο κυβερνήτης,888,General,24,,
ξεκινώ / ξεκίνησα,889,General,24,,
ελεύθερος,891,General,24,,
εξαφανίζω / εξαφάνισα,892,General,24,,
κιόλας,893,General,24,,
ο στρατιώτης,894,General,24,,
το έγκλημα,895,General,24,,
φάω,897,General,24,,
το τρένο,898,General,24,,
η μαίρη,899,General,24,,
συμφωνώ / συμφώνησα,901,General,24,,
μεγάλε,902,General,25,,
το λι,904,General,25,,
φταίει,906,General,25,,
ο λονδίνος,909,General,25,,
ο τοίχος,911,General,25,,
συνεχίζω / συνέχισα,912,General,25,,
η τρύπα,913,General,25,,
γλυκέ,914,General,25,,
αποκλείω / απόκλεισα,915,General,25,,
καλέσω / κάλεσα,917,General,25,,
υπεύθυνος,918,General,25,,
περνάω / πέρασα,920,General,25,,
τόση,923,General,25,,
γαμημένος,924,General,25,,
παππού,925,General,25,,
η στολή,926,General,25,,
τα φώτα,927,General,25,,
το ράιαν,929,General,25,,
σκεφτής,931,General,25,,
περάσω / πέρασα,933,General,25,,
αλλάξω / άλλαξα,934,General,25,,
το καπέλο,935,General,25,,
πάθει / έπαθε,936,General,25,,
ποιό,937,General,25,,
το λεωφορείο,938,General,25,,
το γεύμα,939,General,25,,
τα πνεύμα,940,General,25,,
εννοούσα,942,General,25,,
ο σεβασμός,943,General,25,,
η λεξ,944,General,25,,
οι βγεις,945,General,26,,
ο θείος,946,General,26,,
προτιμώ / προτίμησα,947,General,26,,
η βραδιά,948,General,26,,
το χρυσό,949,General,26,,
φέρνω / έφερα,950,General,26,,
το κοριτσάκι,952,General,26,,
μακ,954,General,26,,
υπόλοιπος,955,General,26,,
το βάρος,956,General,26,,
η μετάφραση,957,General,26,,
ο κος,960,General,26,,
η κλήση,961,General,26,,
δικιά,962,General,26,,
μπα,963,General,26,,
καλα,964,General,26,,
καινούργιος,965,General,26,,
η πτήση,966,General,26,,
το πάτωμα,967,General,26,,
ρίξω / έριξα,969,General,26,,
ο αίματος,971,General,26,,
το επεισόδιο,973,General,26,,
το λουλούδι,974,General,26,,
το κλαρκ,975,General,26,,
ο στόχος,976,General,26,,
ξύπνα,977,General,26,,
ό,978,General,26,,
ο άρρωστος,979,General,26,,
το μίλιο,980,General,26,,
βοηθάω / βοήθησα,982,General,26,,
το σκυλί,984,General,27,,
το δόντι,986,General,27,,
φταίω / έφταψα,987,General,27,,
ζήσω / έζησα,988,General,27,,
το ρολόι,989,General,27,,
το πίτερς,990,General,27,,
η γωνία,991,General,27,,
φαίνω / φάνηκα,992,General,27,,
η μοίρα,993,General,27,,
καινούριο,994,General,27,,
τω,995,General,27,,
ο έρωτας,996,General,27,,
τελειώσω / τέλειωσα,997,General,27,,
η δίκη,998,General,27,,
σώζω / έσωσα,999,General,27,,
η ζώνη,1001,General,27,,
το χρώμα,1002,General,27,,
σκεφτεί,1003,General,27,,
το φόρεμα,1004,General,27,,
η ηπα,1005,General,27,,
σον,1006,General,27,,
κλείνω / έκλεισα,1007,General,27,,
το σκοτάδι,1008,General,27,,
μαλάκας,1011,General,27,,
το κέιτ,1012,General,27,,
η ακρίβεια,1013,General,27,,
τζέι,1015,General,27,,
ήσυχος,1016,General,27,,
το επίπεδο,1018,General,27,,
ντάνιελ,1019,General,27,,
η λεπτομέρεια,1021,General,28,,
ο ρόλος,1022,General,28,,
το χαρτί,1023,General,28,,
χρειαστής,1024,General,28,,
το μπουκάλι,1025,General,28,,
μπορέσω / μπόρεσα,1027,General,28,,
ενάντια,1028,General,28,,
κοιμάται / κοιμήθηκε,1029,General,28,,
σκληρός,1030,General,28,,
αφήνω / άφησα,1031,General,28,,
οι εξετάσεις,1032,General,28,,
ο εγκλήματος,1034,General,28,,
το τηλεφώνημα,1040,General,28,,
η όνειρα,1041,General,28,,
καθαρά,1042,General,28,,
το σκύλο,1043,General,28,,
το νικ,1046,General,28,,
κατευθείαν,1047,General,28,,
ο μητέρας,1049,General,28,,
ρίτσαρντ,1050,General,28,,
το πουλί,1051,General,28,,
κυρίως,1053,General,28,,
θαυμάσιος,1054,General,28,,
ο κόπος,1055,General,28,,
το κέβιν,1056,General,28,,
τζέικ,1057,General,28,,
γιά,1058,General,28,,
τελειώνω / τέλειωσα,1060,General,28,,
η εφημερίδα,1061,General,28,,
πιθανότατα,1064,General,28,,
το χάρι,1065,General,29,,
μπράιαν,1067,General,29,,
το δαχτυλίδι,1068,General,29,,
μιά,1069,General,29,,
πιάσω / έπιασα,1070,General,29,,
αστεία,1072,General,29,,
το γάμου,1076,General,29,,
γράφω / έγραψα,1077,General,29,,
δύσκολα,1078,General,29,,
η πηγή,1079,General,29,,
το φάντασμα,1080,General,29,,
παίξω / έπαιξα,1081,General,29,,
καρέκλα,1082,General,29,,
μονο,1083,General,29,,
τόνι,1084,General,29,,
γελοίος,1085,General,29,,
η δολοφονία,1086,General,29,,
μαζι,1088,General,29,,
λευκός,1089,General,29,,
χαρούμενος,1091,General,29,,
το πανεπιστήμιο,1092,General,29,,
βρίσκομαι / βρέθηκα,1093,General,29,,
κατ,1094,General,29,,
σώσω / έσωσα,1095,General,29,,
νότιος,1096,General,29,,
το ποτε,1097,General,29,,
γαμώς,1098,General,29,,
ο γάλα,1099,General,29,,
το χτύπημα,1100,General,29,,
ματ,1101,General,29,,
πρόσφατα,1102,General,30,,
